command,usage_repo,redis_category
"SCRIPT LOAD",EventNotificationService,script
"SCRIPT LOAD",emailserv,script
"SCRIPT LOAD",omnichannel,script
APPEND,fs-flint-platform,string
BLPOP,EventNotificationService,list
BLPOP,emailserv,list
BLPOP,omnichannel,list
DECR,emailserv,string
DECR,fs-flint-portal,string
DECR,omnichannel,string
DECRBY,fs-flint-platform,string
DEL,EventNotificationService,key
DEL,channel-service,key
DEL,emailserv,key
DEL,fo_asset_processing_engine,key
DEL,formserv,key
DEL,freddy-cx-system42,key
DEL,freshcaller-cpaas,key
DEL,fs-flint-platform,key
DEL,fs-flint-portal,key
DEL,kairos-scheduler,key
DEL,kairos-scheduler,transaction
DEL,omnichannel,key
DEL,time-tracking-service,key
EVAL,emailserv,script
EVAL,freddy-cx-system42,script
EVALSHA,EventNotificationService,script
EVALSHA,emailserv,script
EVALSHA,omnichannel,script
EXEC,kairos-scheduler,transaction
EXISTS,EventNotificationService,key
EXISTS,channel-service,key
EXISTS,emailserv,key
EXISTS,freddy-cx-system42,key
EXISTS,freshcaller-cpaas,key
EXISTS,fs-flint-platform,key
EXISTS,fs-flint-portal,key
EXISTS,kairos-scheduler,key
EXISTS,omnichannel,key
EXISTS,time-tracking-service,key
EXPIRE,EventNotificationService,key
EXPIRE,channel-service,key
EXPIRE,channel-service,pipeline
EXPIRE,emailserv,key
EXPIRE,fo_asset_processing_engine,key
EXPIRE,formserv,key
EXPIRE,freshcaller-cpaas,key
EXPIRE,fs-flint-platform,key
EXPIRE,fs-flint-portal,key
EXPIRE,omnichannel,key
FLUSHALL,EventNotificationService,server
FLUSHALL,emailserv,server
FLUSHALL,freshcaller-cpaas,server
FLUSHALL,iris-api,server
FLUSHALL,omnichannel,server
GET,EventNotificationService,string
GET,channel-service,pipeline
GET,channel-service,string
GET,emailserv,string
GET,fo_asset_processing_engine,string
GET,freddy-cx-system42,string
GET,freshcaller-cpaas,string
GET,fs-flint-platform,string
GET,fs-flint-portal,string
GET,kairos-scheduler,string
GET,omnichannel,string
GET,time-tracking-service,string
GETSET,emailserv,string
HDEL,EventNotificationService,hash
HDEL,channel-service,hash
HDEL,emailserv,hash
HDEL,fs-flint-platform,hash
HDEL,fs-flint-portal,hash
HDEL,omnichannel,hash
HEXISTS,channel-service,hash
HEXISTS,emailserv,hash
HEXISTS,fs-flint-platform,hash
HEXISTS,fs-flint-portal,hash
HGET,EventNotificationService,hash
HGET,EventNotificationService,pipeline
HGET,channel-service,hash
HGET,emailserv,hash
HGET,emailserv,pipeline
HGET,fo_asset_processing_engine,hash
HGET,formserv,hash
HGET,fs-flint-platform,hash
HGET,fs-flint-portal,hash
HGET,kairos-scheduler,hash
HGET,omnichannel,hash
HGET,omnichannel,pipeline
HGETALL,EventNotificationService,hash
HGETALL,channel-service,hash
HGETALL,emailserv,hash
HGETALL,fo_asset_processing_engine,hash
HGETALL,formserv,hash
HGETALL,freddy-cx-system42,hash
HGETALL,fs-flint-portal,hash
HGETALL,kairos-scheduler,hash
HGETALL,omnichannel,hash
HINCRBY,EventNotificationService,hash
HINCRBY,emailserv,hash
HINCRBY,kairos-scheduler,hash
HINCRBY,kairos-scheduler,transaction
HINCRBY,omnichannel,hash
HKEYS,fs-flint-platform,hash
HLEN,fs-flint-platform,hash
HMGET,channel-service,hash
HMSET,EventNotificationService,hash
HMSET,channel-service,hash
HMSET,emailserv,hash
HMSET,fo_asset_processing_engine,hash
HMSET,freddy-cx-system42,hash
HMSET,fs-flint-platform,hash
HMSET,omnichannel,hash
HSCAN,fs-flint-platform,hash
HSET,EventNotificationService,hash
HSET,channel-service,hash
HSET,emailserv,hash
HSET,fo_asset_processing_engine,hash
HSET,formserv,hash
